ID,Clase,Escuela,Turno,Sesion,Fecha,Hora,Aplicador,Tablet,Versión App
000000,NA,000,NA,1,070316,132816,NA,NA,070116
ID,task,trialCode,trialType,trialPos,numPrac,taskPos,SOA,resp,RT,sesion
000000,visSS,NA,0,0,0,2,17,,,1
000000,visSS,NA,0,0,0,2,2,,,1
000000,visSS,NA,1,1,0,2,2,2,0.4061584,1
000000,visSS,NA,1,2,0,2,2,2,0.4373779,1
000000,visSS,NA,1,3,0,2,17,1,0.8032074,1
000000,visSS,NA,1,4,0,2,17,1,0.4535828,1
000000,visSS,NA,2,1,0,2,14,1,0.3749695,1
000000,visSS,NA,2,2,0,2,11,1,0.4140625,1
000000,visSS,NA,2,3,0,2,8,1,0.421875,1
000000,visSS,NA,2,4,0,2,5,1,0.5162354,1
000000,visSS,NA,2,5,0,2,2,1,0.7862854,1
000000,visSS,NA,2,6,0,2,0,1,0.531189,1
