ID,Clase,Escuela,Turno,Sesion,Fecha,Hora,Aplicador,Tablet,Versión App
,,,,,,,,,241017
ID,task,word1,word2,word3,word4,word5,word6,word7,word8,word9,numEl,trialType,taskPos,trialPos,resp1,resp2,resp3,resp4,resp5,resp6,resp7,resp8,resp9,acierto,RT,session
,STMorder,sol,pan,tren,,,,,,,3,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,STMorder,sol,tren,rey,pan,,,,,,4,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,STMorder,tren,pan,sol,,,,,,,3,1,1,1,tren,pan,sol,,,,,,,True,9.428467,
,STMorder,pan,sol,tren,,,,,,,3,1,1,2,pan,sol,tren,,,,,,,True,6.395752,
,STMorder,sol,tren,,,,,,,,2,2,1,1,sol,tren,,,,,,,,True,4.069656,
,STMorder,tren,sol,,,,,,,,2,2,1,2,tren,sol,,,,,,,,True,3.182205,
,STMorder,tren,pan,sol,,,,,,,3,2,1,3,tren,pan,sol,,,,,,,True,4.554878,
,STMorder,pan,sol,tren,,,,,,,3,2,1,4,pan,sol,tren,,,,,,,True,4.853233,
,STMorder,tren,sol,pan,,,,,,,3,2,1,5,tren,sol,pan,,,,,,,True,4.917503,
,STMorder,sol,rey,pan,tren,,,,,,4,2,1,6,sol,rey,pan,tren,,,,,,True,6.749451,
,STMorder,rey,sol,tren,pan,,,,,,4,2,1,7,rey,sol,tren,pan,,,,,,True,8.642426,
,STMorder,tren,rey,sol,pan,,,,,,4,2,1,8,tren,rey,sol,pan,,,,,,True,7.611115,
,STMorder,flor,sol,rey,tren,pan,,,,,5,2,1,9,flor,sol,rey,tren,pan,,,,,True,17.4846,
,STMorder,tren,pan,sol,rey,flor,,,,,5,2,1,10,tren,pan,sol,rey,flor,,,,,True,8.50769,
,STMorder,flor,pan,sol,tren,rey,,,,,5,2,1,11,flor,pan,sol,rey,tren,,,,,False,8.341705,
,STMorder,tren,flor,sol,pez,pan,rey,,,,6,2,1,12,tren,flor,sol,pez,pan,rey,,,,True,28.21089,
,STMorder,pan,flor,pez,rey,tren,sol,,,,6,2,1,13,pan,flor,pez,tren,rey,sol,,,,False,12.30914,
,STMorder,pez,rey,tren,pan,sol,flor,,,,6,2,1,14,pez,rey,tren,pan,sol,flor,,,,True,15.17322,
