ID,Clase,Escuela,Turno,Sesion,Fecha,Hora,Aplicador,Tablet,Versión App
000000,B,000,NA,1,111618,123519,BF,000,241017
ID,task,word1,word2,word3,word4,word5,word6,word7,word8,word9,numEl,trialType,taskPos,trialPos,resp1,resp2,resp3,resp4,resp5,resp6,resp7,resp8,resp9,acierto,RT,session
000000,STMorder,sol,pan,tren,,,,,,,3,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
000000,STMorder,sol,tren,rey,pan,,,,,,4,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
000000,STMorder,tren,pan,sol,,,,,,,3,1,1,1,tren,pan,sol,,,,,,,True,6.419006,1
000000,STMorder,pan,sol,tren,,,,,,,3,1,1,2,pan,sol,tren,,,,,,,True,5.391785,1
000000,STMorder,sol,tren,,,,,,,,2,2,1,1,sol,tren,,,,,,,,True,3.324226,1
000000,STMorder,tren,sol,,,,,,,,2,2,1,2,tren,sol,,,,,,,,True,6.187447,1
000000,STMorder,tren,pan,sol,,,,,,,3,2,1,3,tren,pan,sol,,,,,,,True,6.395729,1
000000,STMorder,pan,sol,tren,,,,,,,3,2,1,4,pan,sol,tren,,,,,,,True,6.179329,1
000000,STMorder,tren,sol,pan,,,,,,,3,2,1,5,tren,sol,pan,,,,,,,True,8.841827,1
000000,STMorder,sol,rey,pan,tren,,,,,,4,2,1,6,sol,rey,pan,tren,,,,,,True,8.568314,1
