ID,Clase,Escuela,Turno,Sesion,Fecha,Hora,Aplicador,Tablet,Versión App
000000,A,000,NA,1,111618,125212,BF,000,241017
ID,task,word1,word2,word3,word4,word5,word6,word7,word8,word9,numEl,trialType,taskPos,trialPos,resp1,resp2,resp3,resp4,resp5,resp6,resp7,resp8,resp9,acierto,RT,session
000000,STMspatial,3,5,,,,,,,,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
000000,STMspatial,1,4,6,,,,,,,3,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
000000,STMspatial,2,8,,,,,,,,2,1,1,1,2,8,,,,,,,,True,2.50045,1
000000,STMspatial,5,7,6,,,,,,,3,1,1,2,5,7,6,,,,,,,True,2.856247,1
000000,STMspatial,5,4,,,,,,,,2,2,1,1,5,4,,,,,,,,True,1.504311,1
000000,STMspatial,2,7,,,,,,,,2,2,1,2,2,7,,,,,,,,True,1.523811,1
000000,STMspatial,8,2,6,,,,,,,3,2,1,3,8,2,6,,,,,,,True,2.551788,1
000000,STMspatial,4,3,5,,,,,,,3,2,1,4,5,3,5,,,,,,,False,2.412025,1
000000,STMspatial,2,7,3,1,,,,,,4,2,1,5,2,7,3,1,,,,,,True,3.079765,1
000000,STMspatial,5,1,3,8,,,,,,4,2,1,6,5,1,2,8,,,,,,False,3.299911,1
