ID,Clase,Escuela,Turno,Sesion,Fecha,Hora,Aplicador,Tablet,Versión App
000000,B,000,NA,1,111618,131357,BF,000,241017
ID,task,trialCode,target,visual1,visual2,visual3,visual4,visual5,visual6,corrResp,corrResp,numSyll,numPhon,struct,syllPos,trialType,audio1,audio2,numPrac,taskPos,trialPos,targetPos,resp,acierto,RT,session
000000,WIPPSI,IQ_E_01,0A2,0A,0A1,0A2,0A3,0A4,NA,0A2,2,NA,NA,NA,NA,0,NA,NA,0,1,0,1,NA,NA,NA,1
000000,WIPPSI,IQ_P_01,0B3,0B,0B1,0B2,0B3,0B4,NA,0B3,3,NA,NA,NA,NA,1,NA,NA,0,1,1,2,0B4,False,12.90003,1
000000,WIPPSI,IQ_P_01,0B3,0B,0B1,0B2,0B3,0B4,NA,0B3,3,NA,NA,NA,NA,1,NA,NA,0,1,1,2,0B3,True,3.055515,1
000000,WIPPSI,IQ_P_02,0C1,0C,0C1,0C2,0C3,0C4,NA,0C1,1,NA,NA,NA,NA,1,NA,NA,0,1,2,0,0C1,True,4.159737,1
000000,WIPPSI,IQ_T_01,11,10,11,12,13,14,NA,11,1,NA,NA,NA,NA,2,NA,NA,0,1,1,0,11,True,3.135124,1
000000,WIPPSI,IQ_T_02,22,20,21,22,23,24,NA,22,2,NA,NA,NA,NA,2,NA,NA,0,1,2,1,22,True,1.651932,1
000000,WIPPSI,IQ_T_03,33,30,31,32,33,34,NA,33,3,NA,NA,NA,NA,2,NA,NA,0,1,3,2,33,True,1.099525,1
000000,WIPPSI,IQ_T_04,44,40,41,42,43,44,NA,44,4,NA,NA,NA,NA,2,NA,NA,0,1,4,3,44,True,1.187698,1
000000,WIPPSI,IQ_T_05,51,50,51,52,53,54,NA,51,1,NA,NA,NA,NA,2,NA,NA,0,1,5,0,51,True,2.096222,1
000000,WIPPSI,IQ_T_06,61,60,61,62,63,64,NA,61,1,NA,NA,NA,NA,2,NA,NA,0,1,6,0,62,False,1.092697,1
000000,WIPPSI,IQ_T_07,73,70,71,72,73,74,NA,73,3,NA,NA,NA,NA,2,NA,NA,0,1,7,2,72,False,1.912216,1
