ID,Clase,Escuela,Turno,Sesion,Fecha,Hora,Aplicador,Tablet,Versión App
000000,B,000,NA,2,111618,143947,BF,000,241017
ID,task,trialCode,target,offset,dur1,onsetMask,catch,inPhase,corrResp,trialType,numPrac,taskPos,trialPos,targetPos,resp,acierto,RT,sesion
000000,visE,VE_E_01,planeta.png,6,2,9,False,0,1,0,0,1,0,,NA,False,NA,2
000000,visE,VE_E_02,,4,1,6,True,-1,0,0,0,1,0,,NA,False,NA,2
000000,visE,VE_P_01,planeta.png,4,2,7,False,-1,1,1,0,1,1,,1,True,1.644154,2
000000,visE,VE_P_02,,8,2,11,True,1,0,1,0,1,2,,0,True,1.742275,2
000000,visE,VE_P_03,planeta.png,6,2,9,False,0,1,1,0,1,3,,1,True,1.33884,2
000000,visE,VE_T_47,,8,1,10,True,1,0,2,0,1,1,,0,True,1.065155,2
000000,visE,VE_T_24,planeta.png,4,1,6,False,-1,1,2,0,1,2,,0,False,1.78537,2
000000,visE,VE_T_02,planeta.png,8,1,10,False,1,1,2,0,1,3,,1,True,0.5160217,2
000000,visE,VE_T_53,,8,1,10,True,1,0,2,0,1,4,,0,True,0.5970917,2
000000,visE,VE_T_32,,8,1,10,True,1,0,2,0,1,5,,1,False,0.6915131,2
000000,visE,VE_T_18,planeta.png,4,1,6,False,-1,1,2,0,1,6,,1,True,0.5561676,2
000000,visE,VE_T_40,,6,1,8,True,0,0,2,0,1,7,,0,True,0.5029373,2
000000,visE,VE_T_45,,4,1,6,True,-1,0,2,0,1,8,,0,True,0.7400436,2
000000,visE,VE_T_55,,6,1,8,True,0,0,2,0,1,9,,0,True,0.3794708,2
000000,visE,VE_T_29,planeta.png,8,1,10,False,1,1,2,0,1,10,,1,True,0.4955444,2
000000,visE,VE_T_15,planeta.png,4,1,6,False,-1,1,2,0,1,11,,1,True,0.9783249,2
000000,visE,VE_T_20,planeta.png,8,1,10,False,1,1,2,0,1,12,,1,True,0.5168533,2
000000,visE,VE_T_52,,6,1,8,True,0,0,2,0,1,13,,0,True,1.06205,2
000000,visE,VE_T_16,planeta.png,6,1,8,False,0,1,2,0,1,14,,1,True,1.792297,2
000000,visE,VE_T_04,planeta.png,6,1,8,False,0,1,2,0,1,15,,1,True,0.468956,2
000000,visE,VE_T_33,,4,1,6,True,-1,0,2,0,1,16,,0,True,0.3672791,2
000000,visE,VE_T_01,planeta.png,6,1,8,False,0,1,2,0,1,17,,0,False,0.6684799,2
