ID,Clase,Escuela,Turno,Sesion,Fecha,Hora,Aplicador,Tablet,Versión App
000000,A,000,NA,2,111618,144308,BF,000,241017
ID,task,trialCode,trialType,trialPos,numPrac,taskPos,SOA,resp,RT,sesion
000000,visSS,NA,0,0,0,1,17,,,2
000000,visSS,NA,0,0,0,1,2,,,2
000000,visSS,NA,1,1,0,1,2,2,2.548557,2
000000,visSS,NA,1,2,0,1,2,2,2.785225,2
000000,visSS,NA,1,3,0,1,2,2,2.064171,2
000000,visSS,NA,1,4,0,1,17,1,1.328171,2
000000,visSS,NA,2,1,0,1,14,1,1.277412,2
000000,visSS,NA,2,2,0,1,11,1,1.867485,2
000000,visSS,NA,2,3,0,1,13,2,0.6219177,2
000000,visSS,NA,2,4,0,1,12,1,0.65345,2
000000,visSS,NA,2,5,0,1,11,1,0.6987152,2
