task,subTask,trialCode,target,trialType
RAN,Numeros,RANn_T_01,9,2
RAN,Numeros,RANn_T_02,8,2
RAN,Numeros,RANn_T_03,7,2
RAN,Numeros,RANn_T_04,5,2
RAN,Numeros,RANn_T_05,7,2
RAN,Numeros,RANn_T_06,8,2
RAN,Numeros,RANn_T_07,5,2
RAN,Numeros,RANn_T_08,4,2
RAN,Numeros,RANn_T_09,9,2
RAN,Numeros,RANn_T_10,4,2
RAN,Numeros,RANn_T_11,9,2
RAN,Numeros,RANn_T_12,7,2
RAN,Numeros,RANn_T_13,8,2
RAN,Numeros,RANn_T_14,5,2
RAN,Numeros,RANn_T_15,4,2
RAN,Numeros,RANn_T_16,5,2
RAN,Numeros,RANn_T_17,7,2
RAN,Numeros,RANn_T_18,4,2
RAN,Numeros,RANn_T_19,9,2
RAN,Numeros,RANn_T_20,8,2
RAN,Numeros,RANn_T_21,9,2
RAN,Numeros,RANn_T_22,7,2
RAN,Numeros,RANn_T_23,5,2
RAN,Numeros,RANn_T_24,8,2
RAN,Numeros,RANn_T_25,4,2
RAN,Numeros,RANn_T_26,5,2
RAN,Numeros,RANn_T_27,7,2
RAN,Numeros,RANn_T_28,4,2
RAN,Numeros,RANn_T_29,8,2
RAN,Numeros,RANn_T_30,9,2
RAN,Letras,RANl_T_01,F,2
RAN,Letras,RANl_T_02,N,2
RAN,Letras,RANl_T_03,S,2
RAN,Letras,RANl_T_04,M,2
RAN,Letras,RANl_T_05,R,2
RAN,Letras,RANl_T_06,S,2
RAN,Letras,RANl_T_07,R,2
RAN,Letras,RANl_T_08,N,2
RAN,Letras,RANl_T_09,M,2
RAN,Letras,RANl_T_10,F,2
RAN,Letras,RANl_T_11,M,2
RAN,Letras,RANl_T_12,F,2
RAN,Letras,RANl_T_13,N,2
RAN,Letras,RANl_T_14,R,2
RAN,Letras,RANl_T_15,S,2
RAN,Letras,RANl_T_16,R,2
RAN,Letras,RANl_T_17,N,2
RAN,Letras,RANl_T_18,S,2
RAN,Letras,RANl_T_19,M,2
RAN,Letras,RANl_T_20,F,2
RAN,Letras,RANl_T_21,M,2
RAN,Letras,RANl_T_22,N,2
RAN,Letras,RANl_T_23,F,2
RAN,Letras,RANl_T_24,R,2
RAN,Letras,RANl_T_25,S,2
RAN,Letras,RANl_T_26,N,2
RAN,Letras,RANl_T_27,S,2
RAN,Letras,RANl_T_28,M,2
RAN,Letras,RANl_T_29,R,2
RAN,Letras,RANl_T_30,F,2
RAN,Colores,RANc_T_01,AZUL,2
RAN,Colores,RANc_T_02,ROJO,2
RAN,Colores,RANc_T_03,BLANCO,2
RAN,Colores,RANc_T_04,VERDE,2
RAN,Colores,RANc_T_05,BLANCO,2
RAN,Colores,RANc_T_06,NEGRO,2
RAN,Colores,RANc_T_07,NEGRO,2
RAN,Colores,RANc_T_08,VERDE,2
RAN,Colores,RANc_T_09,ROJO,2
RAN,Colores,RANc_T_10,AZUL,2
RAN,Colores,RANc_T_11,ROJO,2
RAN,Colores,RANc_T_12,AZUL,2
RAN,Colores,RANc_T_13,BLANCO,2
RAN,Colores,RANc_T_14,NEGRO,2
RAN,Colores,RANc_T_15,VERDE,2
RAN,Colores,RANc_T_16,BLANCO,2
RAN,Colores,RANc_T_17,VERDE,2
RAN,Colores,RANc_T_18,NEGRO,2
RAN,Colores,RANc_T_19,ROJO,2
RAN,Colores,RANc_T_20,AZUL,2
RAN,Colores,RANc_T_21,BLANCO,2
RAN,Colores,RANc_T_22,AZUL,2
RAN,Colores,RANc_T_23,NEGRO,2
RAN,Colores,RANc_T_24,ROJO,2
RAN,Colores,RANc_T_25,VERDE,2
RAN,Colores,RANc_T_26,ROJO,2
RAN,Colores,RANc_T_27,VERDE,2
RAN,Colores,RANc_T_28,NEGRO,2
RAN,Colores,RANc_T_29,AZUL,2
RAN,Colores,RANc_T_30,BLANCO,2
RAN,Objetos,RANo_T_01,FARO,2
RAN,Objetos,RANo_T_02,LUPA,2
RAN,Objetos,RANo_T_03,FARO,2
RAN,Objetos,RANo_T_04,MESA,2
RAN,Objetos,RANo_T_05,PATO,2
RAN,Objetos,RANo_T_06,QUESO,2
RAN,Objetos,RANo_T_07,PATO,2
RAN,Objetos,RANo_T_08,FARO,2
RAN,Objetos,RANo_T_09,MESA,2
RAN,Objetos,RANo_T_10,QUESO,2
RAN,Objetos,RANo_T_11,LUPA,2
RAN,Objetos,RANo_T_12,PATO,2
RAN,Objetos,RANo_T_13,LUPA,2
RAN,Objetos,RANo_T_14,MESA,2
RAN,Objetos,RANo_T_15,QUESO,2
RAN,Objetos,RANo_T_16,MESA,2
RAN,Objetos,RANo_T_17,FARO,2
RAN,Objetos,RANo_T_18,PATO,2
RAN,Objetos,RANo_T_19,MESA,2
RAN,Objetos,RANo_T_20,PATO,2
RAN,Objetos,RANo_T_21,FARO,2
RAN,Objetos,RANo_T_22,QUESO,2
RAN,Objetos,RANo_T_23,LUPA,2
RAN,Objetos,RANo_T_24,QUESO,2
RAN,Objetos,RANo_T_25,LUPA,2
RAN,Objetos,RANo_T_26,QUESO,2
RAN,Objetos,RANo_T_27,PATO,2
RAN,Objetos,RANo_T_28,FARO,2
RAN,Objetos,RANo_T_29,MESA,2
RAN,Objetos,RANo_T_30,LUPA,2
