task,subTask,trialCode,target,visual1,numSyll,numPhon,logFreq,trialType
ReadBCBL,palabras,RdBCBL_W_P_01,verano ,VERANO,,NA,NA,1
ReadBCBL,palabras,RdBCBL_W_P_02,corazón,CORAZÓN,,NA,NA,1
ReadBCBL,palabras,RdBCBL_W_P_03,risa,RISA,,NA,NA,1
ReadBCBL,palabras,RdBCBL_W_T_01,memoria,MEMORIA,,7,1.783561,2
ReadBCBL,palabras,RdBCBL_W_T_02,revista,REVISTA,,7,1.508337,2
ReadBCBL,palabras,RdBCBL_W_T_03,cámara,CÁMARA,,6,0.740746,2
ReadBCBL,palabras,RdBCBL_W_T_04,secreto,SECRETO,,7,2.125157,2
ReadBCBL,palabras,RdBCBL_W_T_05,familia,FAMILIA,,7,2.591753,2
ReadBCBL,palabras,RdBCBL_W_T_06,lunes,LUNES,,5,1.579471,2
ReadBCBL,palabras,RdBCBL_W_T_07,patio,PATIO,,5,1.391102,2
ReadBCBL,palabras,RdBCBL_W_T_08,novia,NOVIA,,5,2.094343,2
ReadBCBL,palabras,RdBCBL_W_T_09,pecho,PECHO,,4,1.623136,2
ReadBCBL,palabras,RdBCBL_W_T_10,noche,NOCHE,,4,2.955145,2
ReadBCBL,palabras,RdBCBL_W_T_11,vestido,VESTIDO,,7,1.92542,2
ReadBCBL,palabras,RdBCBL_W_T_12,persona,PERSONA,,7,2.452934,2
ReadBCBL,palabras,RdBCBL_W_T_13,mentira,MENTIRA,,7,1.833226,2
ReadBCBL,palabras,RdBCBL_W_T_14,sorpresa,SORPRESA,,8,1.938097,2
ReadBCBL,palabras,RdBCBL_W_T_15,mensaje,MENSAJE,,7,2.099278,2
ReadBCBL,palabras,RdBCBL_W_T_16,cárcel,CÁRCEL,,6,1.970364,2
ReadBCBL,palabras,RdBCBL_W_T_17,culpa,CULPA,,5,2.313067,2
ReadBCBL,palabras,RdBCBL_W_T_18,carta,CARTA,,5,2.04281,2
ReadBCBL,palabras,RdBCBL_W_T_19,lengua,LENGUA,,6,1.652755,2
ReadBCBL,palabras,RdBCBL_W_T_20,centro,CENTRO,,6,2.02138,2
ReadBCBL,palabras,RdBCBL_W_T_21,espalda,ESPALDA,,7,1.854265,2
ReadBCBL,palabras,RdBCBL_W_T_22,artista,ARTISTA,,7,1.508628,2
ReadBCBL,palabras,RdBCBL_W_T_23,espejo,ESPEJO,,6,1.508657,2
ReadBCBL,palabras,RdBCBL_W_T_24,ambiente,AMBIENTE,,8,1.39592,2
ReadBCBL,palabras,RdBCBL_W_T_25,altura,ALTURA,,6,1.442692,2
ReadBCBL,palabras,RdBCBL_W_T_26,inglés,INGLÉS,,6,0.727412,2
ReadBCBL,palabras,RdBCBL_W_T_27,acto,ACTO,,4,1.625277,2
ReadBCBL,palabras,RdBCBL_W_T_28,orden,ORDEN,,5,2.211899,2
ReadBCBL,palabras,RdBCBL_W_T_29,once,ONCE,,4,1.301376,2
ReadBCBL,palabras,RdBCBL_W_T_30,onda,ONDA,,4,1.233871,2
ReadBCBL,pseudopalabras,RdBCBL_PW_P_01,vetono,VETONO,,NA,NA,1
ReadBCBL,pseudopalabras,RdBCBL_PW_P_02,copazón,COPAZÓN,,NA,NA,1
ReadBCBL,pseudopalabras,RdBCBL_PW_P_03,ritre,RITRE,,NA,NA,1
ReadBCBL,pseudopalabras,RdBCBL_PW_T_01,metoria,METORIA,,7,NA,2
ReadBCBL,pseudopalabras,RdBCBL_PW_T_02,renesta,RENESTA,,7,NA,2
ReadBCBL,pseudopalabras,RdBCBL_PW_T_03,catura,CATURA,,6,NA,2
ReadBCBL,pseudopalabras,RdBCBL_PW_T_04,secelto,SECELTO,,7,NA,2
ReadBCBL,pseudopalabras,RdBCBL_PW_T_05,favislia,FAVISLIA,,7,NA,2
ReadBCBL,pseudopalabras,RdBCBL_PW_T_06,lupal,LUPAL,,5,NA,2
ReadBCBL,pseudopalabras,RdBCBL_PW_T_07,pache,PACHE,,5,NA,2
ReadBCBL,pseudopalabras,RdBCBL_PW_T_08,nopa,NOPA,,5,NA,2
ReadBCBL,pseudopalabras,RdBCBL_PW_T_09,petis,PETIS,,4,NA,2
ReadBCBL,pseudopalabras,RdBCBL_PW_T_10,notio,NOTIO,,4,NA,2
ReadBCBL,pseudopalabras,RdBCBL_PW_T_11,veschodo,VESCHODO,,7,NA,2
ReadBCBL,pseudopalabras,RdBCBL_PW_T_12,permirna,PERMIRNA,,7,NA,2
ReadBCBL,pseudopalabras,RdBCBL_PW_T_13,mencera,MENCERA,,7,NA,2
ReadBCBL,pseudopalabras,RdBCBL_PW_T_14,sordasa,SORDASA,,8,NA,2
ReadBCBL,pseudopalabras,RdBCBL_PW_T_15,mencreje,MENCREJE,,7,NA,2
ReadBCBL,pseudopalabras,RdBCBL_PW_T_16,carmo,CARMO,,6,NA,2
ReadBCBL,pseudopalabras,RdBCBL_PW_T_17,culma,CULMA,,5,NA,2
ReadBCBL,pseudopalabras,RdBCBL_PW_T_18,carpre,CARPRE,,5,NA,2
ReadBCBL,pseudopalabras,RdBCBL_PW_T_19,lensa,LENSA,,6,NA,2
ReadBCBL,pseudopalabras,RdBCBL_PW_T_20,cenden,CENDEN,,6,NA,2
