task,subTask,trialCode,target,visual1,numSyll,numPhon,logFreq,trialType
ReadPRO,word,RdPRO_W_P_01,casa,casa,2,4,,1
ReadPRO,word,RdPRO_W_P_02,barco,barco,2,5,,1
ReadPRO,word,RdPRO_W_P_03,prado,prado,2,5,,1
ReadPRO,word,RdPRO_W_T_01,globo,globo,2,5,2,2
ReadPRO,word,RdPRO_W_T_02,peine,peine,2,5,0.618675,2
ReadPRO,word,RdPRO_W_T_03,pueblo,pueblo,2,6,2.256587,2
ReadPRO,word,RdPRO_W_T_04,ciervo,ciervo,2,6,0.790939,2
ReadPRO,word,RdPRO_W_T_05,ermita,ermita,3,6,0.067669,2
ReadPRO,word,RdPRO_W_T_06,fuego,fuego,2,5,2.259944,2
ReadPRO,word,RdPRO_W_T_07,gigante,gigante,3,7,1.420845,2
ReadPRO,word,RdPRO_W_T_08,cuerpo,cuerpo,2,6,2.341628,2
ReadPRO,word,RdPRO_W_T_09,girasol,girasol,3,7,0.237119,2
ReadPRO,word,RdPRO_W_T_10,especie,especie,3,7,1.837765,2
ReadPRO,word,RdPRO_W_T_11,treinta,treinta,2,7,1.409183,2
ReadPRO,word,RdPRO_W_T_12,granizo,granizo,3,7,0.335049,2
ReadPRO,word,RdPRO_W_T_13,ombligo,ombligo,3,7,0.599981,2
ReadPRO,word,RdPRO_W_T_14,trono,trono,2,5,1.221421,2
ReadPRO,word,RdPRO_W_T_15,blanco,blanco,2,6,2.072744,2
ReadPRO,word,RdPRO_W_T_16,alfombra,alfombra,3,8,1.215632,2
ReadPRO,word,RdPRO_W_T_17,pulga,pulga,2,5,0.361975,2
ReadPRO,word,RdPRO_W_T_18,trompeta,trompeta,3,8,0.75036,2
ReadPRO,word,RdPRO_W_T_19,prensa,prensa,2,6,1.732543,2
ReadPRO,word,RdPRO_W_T_20,viento,viento,2,6,1.74873,2
ReadPRO,word,RdPRO_W_T_21,huelga,huelga,2,6,1.115361,2
ReadPRO,word,RdPRO_W_T_22,muerto,muerto,2,6,2.560149,2
ReadPRO,word,RdPRO_W_T_23,lienzo,lienzo,2,6,0.447928,2
ReadPRO,word,RdPRO_W_T_24,cristal,cristal,2,7,1.40525,2
ReadPRO,word,RdPRO_W_T_25,estrella,estrella,3,7,1.848688,2
ReadPRO,word,RdPRO_W_T_26,mueble,mueble,2,6,0.483575,2
ReadPRO,word,RdPRO_W_T_27,princesa,princesa,3,8,1.737416,2
ReadPRO,word,RdPRO_W_T_28,astuto,astuto,3,6,1.088566,2
ReadPRO,word,RdPRO_W_T_29,bosque,bosque,2,5,1.768659,2
ReadPRO,word,RdPRO_W_T_30,sombrero,sombrero,3,8,1.689038,2
ReadPRO,word,RdPRO_W_T_31,tierra,tierra,2,5,2.410708,2
ReadPRO,word,RdPRO_W_T_32,cloro,cloro,2,5,0.425962,2
ReadPRO,word,RdPRO_W_T_33,peldaño,peldaño,3,7,0.274109,2
ReadPRO,word,RdPRO_W_T_34,gente,gente,2,5,2.936003,2
ReadPRO,word,RdPRO_W_T_35,triunfal,triunfal,2,8,0.270095,2
ReadPRO,word,RdPRO_W_T_36,plato,plato,2,5,1.446167,2
ReadPRO,word,RdPRO_W_T_37,tintero,tintero,3,7,0.150103,2
ReadPRO,word,RdPRO_W_T_38,liebre,liebre,2,6,0.604906,2
ReadPRO,word,RdPRO_W_T_39,pregunta,pregunta,3,8,2.323452,2
ReadPRO,word,RdPRO_W_T_40,tractor,tractor,2,7,0.807044,2
ReadPRO,pseudoword,RdPRO_PW_P_01,reca,reca,2,4,NA,1
ReadPRO,pseudoword,RdPRO_PW_P_02,tispe,tispe,2,5,NA,1
ReadPRO,pseudoword,RdPRO_PW_P_03,blopa,blopa,2,5,NA,1
ReadPRO,pseudoword,RdPRO_PW_T_01,gloro,gloro,2,5,NA,2
ReadPRO,pseudoword,RdPRO_PW_T_02,peima,peima,2,5,NA,2
ReadPRO,pseudoword,RdPRO_PW_T_03,pueña,pueña,2,6,NA,2
ReadPRO,pseudoword,RdPRO_PW_T_04,ciergo,ciergo,2,6,NA,2
ReadPRO,pseudoword,RdPRO_PW_T_05,erpisa,erpisa,3,6,NA,2
ReadPRO,pseudoword,RdPRO_PW_T_06,fueme,fueme,2,5,NA,2
ReadPRO,pseudoword,RdPRO_PW_T_07,giranco,giranco,3,7,NA,2
ReadPRO,pseudoword,RdPRO_PW_T_08,cuerla,cuerla,2,6,NA,2
ReadPRO,pseudoword,RdPRO_PW_T_09,gicamol,gicamol,3,7,NA,2
ReadPRO,pseudoword,RdPRO_PW_T_10,escodia,escodia,3,7,NA,2
ReadPRO,pseudoword,RdPRO_PW_T_11,treindo,treindo,2,7,NA,2
ReadPRO,pseudoword,RdPRO_PW_T_12,graliza,graliza,3,7,NA,2
ReadPRO,pseudoword,RdPRO_PW_T_13,onclaso,onclaso,3,7,NA,2
ReadPRO,pseudoword,RdPRO_PW_T_14,trollo,trollo,2,5,NA,2
ReadPRO,pseudoword,RdPRO_PW_T_15,blansa,blansa,2,6,NA,2
ReadPRO,pseudoword,RdPRO_PW_T_16,almiento,almiento,3,8,NA,2
ReadPRO,pseudoword,RdPRO_PW_T_17,pulda,pulda,2,5,NA,2
