task,1,2,3,4,5,6,7,8,9,numEl,trialType,taskPos,trialPos,resp,acierto,RT,session,,,,,,,,,,,
STMspatial,3,5,,,,,,,,2,0,,,,,,,,,,,,,,,,,
STMspatial,1,4,6,,,,,,,3,0,,,,,,,,,,,,,,,,,
STMspatial,2,8,,,,,,,,2,1,,,,,,,,,,,,,,,,,
STMspatial,5,7,6,,,,,,,3,1,,,,,,,,,,,,,,,,,
STMspatial,5,4,,,,,,,,2,2,,,,,,,,,,,,,,,,,
STMspatial,2,7,,,,,,,,2,2,,,,,,,,,,,,,,,,,
STMspatial,7,9,,,,,,,,2,2,,,,,,,,,,,,,,,,,
STMspatial,1,2,,,,,,,,2,2,,,,,,,,,,,,,,,,,
STMspatial,8,2,6,,,,,,,3,2,,,,,,,,,,,,,,,,,
STMspatial,4,3,5,,,,,,,3,2,,,,,,,,,,,,,,,,,
STMspatial,2,7,3,1,,,,,,4,2,,,,,,,,,,,,,,,,,
STMspatial,5,1,3,8,,,,,,4,2,,,,,,,,,,,,,,,,,
STMspatial,9,5,2,6,,,,,,4,2,,,,,,,,,,,,,,,,,
STMspatial,8,9,7,4,,,,,,4,2,,,,,,,,,,,,,,,,,
STMspatial,1,6,9,5,3,,,,,5,2,,,,,,,,,,,,,,,,,
STMspatial,9,5,8,4,6,,,,,5,2,,,,,,,,,,,,,,,,,
STMspatial,4,8,7,1,3,,,,,5,2,,,,,,,,,,,,,,,,,
STMspatial,4,2,3,8,9,,,,,5,2,,,,,,,,,,,,,,,,,
STMspatial,5,1,2,7,9,3,,,,6,2,,,,,,,,,,,,,,,,,
STMspatial,8,4,3,6,2,1,,,,6,2,,,,,,,,,,,,,,,,,
STMspatial,9,6,7,8,3,4,,,,6,2,,,,,,,,,,,,,,,,,
STMspatial,7,1,3,5,6,9,,,,6,2,,,,,,,,,,,,,,,,,
STMspatial,7,6,1,4,3,2,8,,,7,2,,,,,,,,,,,,,,,,,
STMspatial,7,4,2,8,1,9,6,,,7,2,,,,,,,,,,,,,,,,,
STMspatial,2,9,8,5,6,7,1,,,7,2,,,,,,,,,,,,,,,,,
STMspatial,9,1,6,8,3,4,5,,,7,2,,,,,,,,,,,,,,,,,
STMspatial,8,5,4,6,9,2,7,1,,8,2,,,,,,,,,,,,,,,,,
STMspatial,8,7,2,5,3,1,9,4,,8,2,,,,,,,,,,,,,,,,,
STMspatial,6,2,7,5,3,8,9,4,,8,2,,,,,,,,,,,,,,,,,
STMspatial,5,3,6,2,1,9,4,7,,8,2,,,,,,,,,,,,,,,,,
