task,trialCode,freq,audioL,audioR,cond,trialType,audio1,numPrac,taskPos,trialPos,resp,RT,contador,session,
DichSyll,DS_P_01,NA,la,sa,2,1,lasa,,,,,,,,
DichSyll,DS_P_02,NA,ma,fa,2,1,mafa,,,,,,,,
DichSyll,DS_P_03,NA,ca,ga,1,1,caga,,,,,,,,
DichSyll,DS_T_01,NA,ba,pa,1,2,bapa,,,,,,,,
DichSyll,DS_T_01,NA,ba,pa,1,2,bapa,,,,,,,,
DichSyll,DS_T_01,NA,ba,pa,1,2,bapa,,,,,,,,
DichSyll,DS_T_02,NA,pa,ba,1,2,paba,,,,,,,,
DichSyll,DS_T_02,NA,pa,ba,1,2,paba,,,,,,,,
DichSyll,DS_T_02,NA,pa,ba,1,2,paba,,,,,,,,
DichSyll,DS_T_03,NA,ca,ga,1,2,caga,,,,,,,,
DichSyll,DS_T_03,NA,ca,ga,1,2,caga,,,,,,,,
DichSyll,DS_T_03,NA,ca,ga,1,2,caga,,,,,,,,
DichSyll,DS_T_04,NA,ga,ca,1,2,gaca,,,,,,,,
DichSyll,DS_T_04,NA,ga,ca,1,2,gaca,,,,,,,,
DichSyll,DS_T_04,NA,ga,ca,1,2,gaca,,,,,,,,
DichSyll,DS_T_05,NA,da,ta,1,2,data,,,,,,,,
DichSyll,DS_T_05,NA,da,ta,1,2,data,,,,,,,,
DichSyll,DS_T_05,NA,da,ta,1,2,data,,,,,,,,
DichSyll,DS_T_06,NA,ta,da,1,2,tada,,,,,,,,
DichSyll,DS_T_06,NA,ta,da,1,2,tada,,,,,,,,
DichSyll,DS_T_06,NA,ta,da,1,2,tada,,,,,,,,
DichSyll,DS_T_07,NA,ma,fa,2,2,mafa,,,,,,,,
DichSyll,DS_T_07,NA,ma,fa,2,2,mafa,,,,,,,,
DichSyll,DS_T_07,NA,ma,fa,2,2,mafa,,,,,,,,
DichSyll,DS_T_08,NA,fa,ma,2,2,fama,,,,,,,,
DichSyll,DS_T_08,NA,fa,ma,2,2,fama,,,,,,,,
DichSyll,DS_T_08,NA,fa,ma,2,2,fama,,,,,,,,
DichSyll,DS_T_09,NA,la,sa,2,2,lasa,,,,,,,,
DichSyll,DS_T_09,NA,la,sa,2,2,lasa,,,,,,,,
DichSyll,DS_T_09,NA,la,sa,2,2,lasa,,,,,,,,
DichSyll,DS_T_10,NA,sa,la,2,2,sala,,,,,,,,
DichSyll,DS_T_10,NA,sa,la,2,2,sala,,,,,,,,
DichSyll,DS_T_10,NA,sa,la,2,2,sala,,,,,,,,
