task,trialCode,target,visual1,visual2,visual3,visual4,corrResp,numSyll,numPhon,struct,syllPos,trialType,audio1,audio2,numPrac,taskPos,trialPos,targetPos,resp,acierto,RT,session
identificationP,PI_P_01,na,tribuna,NA,NA,NA,1,3,7,CV,3,1,na,tribuna,,,,,,,,
identificationP,PI_P_02,mo,escoba,NA,NA,NA,0,3,6,CV,2,1,mo,escoba,,,,,,,,
identificationP,PI_P_03,tro,trofeo,NA,NA,NA,1,3,6,CCV,1,1,tro,trofeo,,,,,,,,
identificationP,PI_T_01,ti,tijera,NA,NA,NA,1,3,6,CV,1,2,ti,tijera,,,,,,,,
identificationP,PI_T_02,pa,paloma,NA,NA,NA,1,3,6,CV,1,2,pa,paloma,,,,,,,,
identificationP,PI_T_03,cu,cuchillo,NA,NA,NA,1,3,6,CV,1,2,cu,cuchillo,,,,,,,,
identificationP,PI_T_04,so,tesoro,NA,NA,NA,1,3,6,CV,2,2,so,tesoro,,,,,,,,
identificationP,PI_T_05,ne,panera,NA,NA,NA,1,3,6,CV,2,2,ne,panera,,,,,,,,
identificationP,PI_T_06,ma,tomate,NA,NA,NA,1,3,6,CV,2,2,ma,tomate,,,,,,,,
identificationP,PI_T_07,ra,tetera,NA,NA,NA,1,3,6,CV,3,2,ra,tetera,,,,,,,,
identificationP,PI_T_08,jo,conejo,NA,NA,NA,1,3,6,CV,3,2,jo,conejo,,,,,,,,
identificationP,PI_T_09,la,mochila,NA,NA,NA,1,3,6,CV,3,2,la,mochila,,,,,,,,
identificationP,PI_T_10,cru,crucero,NA,NA,NA,1,3,7,CCV,1,2,cru,crucero,,,,,,,,
identificationP,PI_T_11,cra,crayola,NA,NA,NA,1,3,7,CCV,1,2,cra,crayola,,,,,,,,
identificationP,PI_T_12,bra,brasero,NA,NA,NA,1,3,7,CCV,1,2,bra,brasero,,,,,,,,
identificationP,PI_T_13,gre,vinagre,NA,NA,NA,1,3,7,CCV,3,2,gre,vinagre,,,,,,,,
identificationP,PI_T_14,bro,cerebro,NA,NA,NA,1,3,7,CCV,3,2,bro,cerebro,,,,,,,,
identificationP,PI_T_15,bra,alfombra,NA,NA,NA,1,3,8,CCV,3,2,bra,alfombra,,,,,,,,
identificationP,PI_T_16,ti,dinero,NA,NA,NA,0,3,6,CV,1,2,ti,dinero,,,,,,,,
identificationP,PI_T_17,pa,ballena,NA,NA,NA,0,3,6,CV,1,2,pa,ballena,,,,,,,,
identificationP,PI_T_18,cu,muneca,NA,NA,NA,0,3,6,CV,1,2,cu,muneca,,,,,,,,
identificationP,PI_T_19,so,cebolla,NA,NA,NA,0,3,6,CV,2,2,so,cebolla,,,,,,,,
identificationP,PI_T_20,ne,cabeza,NA,NA,NA,0,3,6,CV,2,2,ne,cabeza,,,,,,,,
identificationP,PI_T_21,ma,gusano,NA,NA,NA,0,3,6,CV,2,2,ma,gusano,,,,,,,,
identificationP,PI_T_22,ra,cadena,NA,NA,NA,0,3,6,CV,3,2,ra,cadena,,,,,,,,
identificationP,PI_T_23,jo,zapato,NA,NA,NA,0,3,6,CV,3,2,jo,zapato,,,,,,,,
identificationP,PI_T_24,la,galleta,NA,NA,NA,0,3,6,CV,3,2,la,galleta,,,,,,,,
identificationP,PI_T_25,cru,brujula,NA,NA,NA,0,3,7,CCV,1,2,cru,brujula,,,,,,,,
identificationP,PI_T_26,cra,granito,NA,NA,NA,0,3,7,CCV,1,2,cra,granito,,,,,,,,
identificationP,PI_T_27,gra,frazada,NA,NA,NA,0,3,7,CCV,1,2,gra,frazada,,,,,,,,
identificationP,PI_T_28,gre,octubre,NA,NA,NA,0,3,7,CCV,3,2,gre,octubre,,,,,,,,
identificationP,PI_T_29,bro,taladro,NA,NA,NA,0,3,7,CCV,3,2,bro,taladro,,,,,,,,
identificationP,PI_T_30,bra,almendra,NA,NA,NA,0,3,8,CCV,3,2,bra,almendra,,,,,,,,
