task,trialCode,target,visual1,visual2,visual3,visual4,corrResp,numSyll,numPhon,struct,syllPos,trialType,audio1,audio2,numPrac,taskPos,trialPos,targetPos,resp,acierto,RT,session
identificationS,SI_E_01,pla,platillo,NA,NA,NA,1,3,7,CCV,1,0,pla,platillo,,,,,,,,
identificationS,SI_E_02,la,rayuela,NA,NA,NA,1,3,7,CV,3,0,la,rayuela,,,,,,,,
identificationS,SI_E_03,pi,tenedor,NA,NA,NA,0,3,7,CV,2,0,pi,tenedor,,,,,,,,
identificationS,SI_P_01,tro,teatro,NA,NA,NA,1,3,6,CCV,3,1,tro,teatro,,,,,,,,
identificationS,SI_P_02,za,zapallo,NA,NA,NA,1,3,6,CV,1,1,za,zapallo,,,,,,,,
identificationS,SI_P_03,me,lagarto,NA,NA,NA,0,3,7,CV,1,1,me,lagarto,,,,,,,,
identificationS,SI_T_01,bi,billete,NA,NA,NA,1,3,6,CV,1,2,bi,billete,,,,,,,,
identificationS,SI_T_02,ce,cepillo,NA,NA,NA,1,3,6,CV,1,2,ce,cepillo,,,,,,,,
identificationS,SI_T_03,mo,moneda,NA,NA,NA,1,3,6,CV,1,2,mo,moneda,,,,,,,,
identificationS,SI_T_04,be,cabeza,NA,NA,NA,1,3,6,CV,2,2,be,cabeza,,,,,,,,
identificationS,SI_T_05,ci,cocina,NA,NA,NA,1,3,6,CV,2,2,ci,cocina,,,,,,,,
identificationS,SI_T_06,te,botella,NA,NA,NA,1,3,6,CV,2,2,te,botella,,,,,,,,
identificationS,SI_T_07,sa,camisa,NA,NA,NA,1,3,6,CV,3,2,sa,camisa,,,,,,,,
identificationS,SI_T_08,na,cadena,NA,NA,NA,1,3,6,CV,3,2,na,cadena,,,,,,,,
identificationS,SI_T_09,te,juguete,NA,NA,NA,1,3,6,CV,3,2,te,juguete,,,,,,,,
identificationS,SI_T_10,fru,frutilla,NA,NA,NA,1,3,7,CCV,1,2,fru,frutilla,,,,,,,,
identificationS,SI_T_11,cru,crucero,NA,NA,NA,1,3,7,CCV,1,2,cru,crucero,,,,,,,,
identificationS,SI_T_12,tri,triciclo,NA,NA,NA,1,3,8,CCV,1,2,tri,triciclo,,,,,,,,
identificationS,SI_T_13,tra,maestra,NA,NA,NA,1,3,7,CCV,3,2,tra,maestra,,,,,,,,
identificationS,SI_T_14,dro,taladro,NA,NA,NA,1,3,7,CCV,3,2,dro,taladro,,,,,,,,
identificationS,SI_T_15,dra,almendra,NA,NA,NA,1,3,8,CCV,3,2,dra,almendra,,,,,,,,
identificationS,SI_T_16,bi,panera,NA,NA,NA,0,3,6,CV,1,2,bi,panera,,,,,,,,
identificationS,SI_T_17,ce,gallina,NA,NA,NA,0,3,6,CV,1,2,ce,gallina,,,,,,,,
identificationS,SI_T_18,mo,paleta,NA,NA,NA,0,3,6,CV,1,2,mo,paleta,,,,,,,,
identificationS,SI_T_19,be,rodilla,NA,NA,NA,0,3,6,CV,2,2,be,rodilla,,,,,,,,
identificationS,SI_T_20,ci,pelota,NA,NA,NA,0,3,6,CV,2,2,ci,pelota,,,,,,,,
identificationS,SI_T_21,te,laguna,NA,NA,NA,0,3,6,CV,2,2,te,laguna,,,,,,,,
identificationS,SI_T_22,sa,bigote,NA,NA,NA,0,3,6,CV,3,2,sa,bigote,,,,,,,,
identificationS,SI_T_23,na,ropero,NA,NA,NA,0,3,6,CV,3,2,na,ropero,,,,,,,,
identificationS,SI_T_24,te,muralla,NA,NA,NA,0,3,6,CV,3,2,te,muralla,,,,,,,,
identificationS,SI_T_25,fru,trineo,NA,NA,NA,0,3,6,CCV,1,2,fru,trineo,,,,,,,,
identificationS,SI_T_26,cru,granito,NA,NA,NA,0,3,7,CCV,1,2,cru,granito,,,,,,,,
identificationS,SI_T_27,tri,plumero,NA,NA,NA,0,3,7,CCV,1,2,tri,plumero,,,,,,,,
identificationS,SI_T_28,tra,cerebro,NA,NA,NA,0,3,7,CCV,3,2,tra,cerebro,,,,,,,,
identificationS,SI_T_29,dro,alfombra,NA,NA,NA,0,3,8,CCV,3,2,dro,alfombra,,,,,,,,
identificationS,SI_T_30,dra,vinagre,NA,NA,NA,0,3,7,CCV,3,2,dra,vinagre,,,,,,,,
