task,trialCode,target,visual1,visual2,visual3,visual4,corrResp,numSyll,numPhon,struct,syllPos,trialType,audio1,audio2,numPrac,taskPos,trialPos,targetPos,resp,acierto,RT,session
lettersN,LN_E_01,A,A,Ñ,H,NA,A,NA,NA,NA,NA,0,A,NA,,,,,,,,
lettersN,LN_T_01,B,B,R,N,NA,B,NA,NA,NA,NA,2,B,NA,,,,,,,,
lettersN,LN_T_02,C,C,Q,J,NA,C,NA,NA,NA,NA,2,C,NA,,,,,,,,
lettersN,LN_T_03,D,D,B,K,NA,D,NA,NA,NA,NA,2,D,NA,,,,,,,,
lettersN,LN_T_04,F,F,P,S,NA,F,NA,NA,NA,NA,2,F,NA,,,,,,,,
lettersN,LN_T_05,G,G,Q,L,NA,G,NA,NA,NA,NA,2,G,NA,,,,,,,,
lettersN,LN_T_06,H,H,L,P,NA,H,NA,NA,NA,NA,2,H,NA,,,,,,,,
lettersN,LN_T_07,J,J,Y,C,NA,J,NA,NA,NA,NA,2,J,NA,,,,,,,,
lettersN,LN_T_08,K,K,X,S,NA,K,NA,NA,NA,NA,2,K,NA,,,,,,,,
lettersN,LN_T_09,L,L,J,R,NA,L,NA,NA,NA,NA,2,L,NA,,,,,,,,
lettersN,LN_T_10,M,M,Z,T,NA,M,NA,NA,NA,NA,2,M,NA,,,,,,,,
lettersN,LN_T_11,N,N,K,D,NA,N,NA,NA,NA,NA,2,N,NA,,,,,,,,
lettersN,LN_T_12,Ñ,Ñ,M,B,NA,Ñ,NA,NA,NA,NA,2,Ñ,NA,,,,,,,,
lettersN,LN_T_13,P,P,R,X,NA,P,NA,NA,NA,NA,2,P,NA,,,,,,,,
lettersN,LN_T_14,Q,Q,B,S,NA,Q,NA,NA,NA,NA,2,Q,NA,,,,,,,,
lettersN,LN_T_15,R,R,P,C,NA,R,NA,NA,NA,NA,2,R,NA,,,,,,,,
lettersN,LN_T_16,S,S,Z,Y,NA,S,NA,NA,NA,NA,2,S,NA,,,,,,,,
lettersN,LN_T_17,T,T,J,N,NA,T,NA,NA,NA,NA,2,T,NA,,,,,,,,
lettersN,LN_T_18,V,V,M,F,NA,V,NA,NA,NA,NA,2,V,NA,,,,,,,,
lettersN,LN_T_19,W,W,M,G,NA,W,NA,NA,NA,NA,2,W,NA,,,,,,,,
lettersN,LN_T_20,X,X,K,L,NA,X,NA,NA,NA,NA,2,X,NA,,,,,,,,
lettersN,LN_T_21,Y,Y,V,D,NA,Y,NA,NA,NA,NA,2,Y,NA,,,,,,,,
lettersN,LN_T_22,Z,Z,N,T,NA,Z,NA,NA,NA,NA,2,Z,NA,,,,,,,,
