task,trialCode,target,visual1,visual2,visual3,visual4,corrResp,numSyll,numPhon,struct,syllPos,trialType,audio1,audio2,numPrac,taskPos,trialPos,targetPos,resp,acierto,RT,session
lettersS,LS_T_01,a,A,E,J,NA,A,NA,NA,NA,NA,2,a,NA,,,,,,,,
lettersS,LS_T_02,b,B,R,L,NA,B,NA,NA,NA,NA,2,b,NA,,,,,,,,
lettersS,LS_T_03,c,C,D,P,NA,C,NA,NA,NA,NA,2,c,NA,,,,,,,,
lettersS,LS_T_04,d,D,C,Z,NA,D,NA,NA,NA,NA,2,d,NA,,,,,,,,
lettersS,LS_T_05,e,E,A,D,NA,E,NA,NA,NA,NA,2,e,NA,,,,,,,,
lettersS,LS_T_06,f,F,P,C,NA,F,NA,NA,NA,NA,2,f,NA,,,,,,,,
lettersS,LS_T_07,g,G,D,T,NA,G,NA,NA,NA,NA,2,g,NA,,,,,,,,
lettersS,LS_T_08,i,I,E,Q,NA,I,NA,NA,NA,NA,2,i,NA,,,,,,,,
lettersS,LS_T_09,j,J,T,N,NA,J,NA,NA,NA,NA,2,j,NA,,,,,,,,
lettersS,LS_T_10,l,L,J,S,NA,L,NA,NA,NA,NA,2,l,NA,,,,,,,,
lettersS,LS_T_11,m,M,W,L,NA,M,NA,NA,NA,NA,2,m,NA,,,,,,,,
lettersS,LS_T_12,n,N,Z,Q,NA,N,NA,NA,NA,NA,2,n,NA,,,,,,,,
lettersS,LS_T_13,ñ,Ñ,Z,T,NA,Ñ,NA,NA,NA,NA,2,ñ,NA,,,,,,,,
lettersS,LS_T_14,o,O,U,P,NA,O,NA,NA,NA,NA,2,o,NA,,,,,,,,
lettersS,LS_T_15,p,P,F,E,NA,P,NA,NA,NA,NA,2,p,NA,,,,,,,,
lettersS,LS_T_16,r,R,K,S,NA,R,NA,NA,NA,NA,2,rr,NA,,,,,,,,
lettersS,LS_T_17,s,S,R,V,NA,S,NA,NA,NA,NA,2,s,NA,,,,,,,,
lettersS,LS_T_18,t,T,F,C,NA,T,NA,NA,NA,NA,2,t,NA,,,,,,,,
lettersS,LS_T_19,u,U,O,B,NA,U,NA,NA,NA,NA,2,u,NA,,,,,,,,
lettersS,LS_T_20,v,V,Y,J,NA,V,NA,NA,NA,NA,2,v,NA,,,,,,,,
lettersS,LS_T_21,y,Y,V,B,NA,Y,NA,NA,NA,NA,2,y,NA,,,,,,,,
lettersS,LS_T_22,z,Z,F,R,NA,Z,NA,NA,NA,NA,2,s,NA,,,,,,,,
