task,trialCode,target,visual1,visual2,visual3,visual4,corrResp,numSyll,numPhon,struct,syllPos,trialType,audio1,audio2,numPrac,taskPos,trialPos,targetPos,resp,acierto,RT,session
rhymeW,RW_E_01,ato,zapato,mochila,NA,NA,0,3,6,CV,NA,0,zapato,mochila,,,,,,,,
rhymeW,RW_E_02,ena,sirena,ballena,NA,NA,1,3,6,cv,NA,0,sirena,ballena,,,,,,,,
rhymeW,RW_P_01,una,laguna,rayuela,NA,NA,0,3,7,CV,NA,1,laguna,rayuela,,,,,,,,
rhymeW,RW_P_02,ete,billete,juguete,NA,NA,1,3,6,CV,NA,1,billete,juguete,,,,,,,,
rhymeW,RW_T_01,illo,cepillo,cuchillo,NA,NA,1,3,6,CV,NA,2,cepillo,cuchillo,,,,,,,,
rhymeW,RW_T_02,ina,cocina,gallina,NA,NA,1,3,6,CV,NA,2,cocina,gallina,,,,,,,,
rhymeW,RW_T_03,era,tetera,tijera,NA,NA,1,3,6,CV,NA,2,tetera,tijera,,,,,,,,
rhymeW,RW_T_04,eta,galleta,paleta,NA,NA,1,3,6,CV,NA,2,galleta,paleta,,,,,,,,
rhymeW,RW_T_05,ero,crucero,plumero,NA,NA,1,3,7,CV,NA,2,crucero,plumero,,,,,,,,
rhymeW,RW_T_06,ota,pelota,barriga,NA,NA,0,3,6,CV,NA,2,pelota,barriga,,,,,,,,
rhymeW,RW_T_07,ina,bocina,tesoro,NA,NA,0,3,6,CV,NA,2,bocina,tesoro,,,,,,,,
rhymeW,RW_T_08,ero,ropero,pirata,NA,NA,0,3,6,CV,NA,2,ropero,pirata,,,,,,,,
rhymeW,RW_T_09,ate,tomate,botella,NA,NA,0,3,6,CV,NA,2,tomate,botella,,,,,,,,
rhymeW,RW_T_10,alla,muralla,bigote,NA,NA,0,3,6,CV,NA,2,muralla,bigote,,,,,,,,
