task,trialCode,target,visual1,visual2,visual3,visual4,corrResp,numSyll,numPhon,struct,syllPos,trialType,audio1,audio2,numPrac,taskPos,trialPos,targetPos,resp,acierto,RT,session
segmentationP,SP_E_01,luna,luna,NA,NA,NA,4,2,4,CV,NA,0,luna,NA,,,,,,,,
segmentationP,SP_E_02,traje,traje,NA,NA,NA,5,2,5,CCV,NA,0,traje,NA,,,,,,,,
segmentationP,SP_P_01,pie,pie,NA,NA,NA,3,1,3,CV,NA,1,pie,NA,,,,,,,,
segmentationP,SP_P_02,fruta,fruta,NA,NA,NA,5,2,5,CCV,NA,1,fruta,NA,,,,,,,,
segmentationP,SP_P_03,paleta,paleta,NA,NA,NA,6,3,6,CV,NA,1,paleta,NA,,,,,,,,
segmentationP,SP_T_01,sol,sol,NA,NA,NA,3,1,3,CV,NA,2,sol,NA,,,,,,,,
segmentationP,SP_T_02,pan,pan,NA,NA,NA,3,1,3,CV,NA,2,pan,NA,,,,,,,,
segmentationP,SP_T_03,pez,pez,NA,NA,NA,3,1,3,CV,NA,2,pez,NA,,,,,,,,
segmentationP,SP_T_04,rey,rey,NA,NA,NA,3,1,3,CV,NA,2,rey,NA,,,,,,,,
segmentationP,SP_T_05,boca,boca,NA,NA,NA,4,2,4,CV,NA,2,boca,NA,,,,,,,,
segmentationP,SP_T_06,cine,cine,NA,NA,NA,4,2,4,CV,NA,2,cine,NA,,,,,,,,
segmentationP,SP_T_07,faro,faro,NA,NA,NA,4,2,4,CV,NA,2,faro,NA,,,,,,,,
segmentationP,SP_T_08,sopa,sopa,NA,NA,NA,4,2,4,CV,NA,2,sopa,NA,,,,,,,,
segmentationP,SP_T_09,tren,tren,NA,NA,NA,4,1,4,CCV,NA,2,tren,NA,,,,,,,,
segmentationP,SP_T_10,tres,tres,NA,NA,NA,4,1,4,CCV,NA,2,tres,NA,,,,,,,,
segmentationP,SP_T_11,flor,flor,NA,NA,NA,4,1,4,CCV,NA,2,flor,NA,,,,,,,,
segmentationP,SP_T_12,club,club,NA,NA,NA,4,1,4,CCV,NA,2,club,NA,,,,,,,,
segmentationP,SP_T_13,reloj,reloj,NA,NA,NA,5,2,5,CV,NA,2,reloj,NA,,,,,,,,
segmentationP,SP_T_14,libro,libro,NA,NA,NA,5,2,5,CV,NA,2,libro,NA,,,,,,,,
segmentationP,SP_T_15,boton,boton,NA,NA,NA,5,2,5,CV,NA,2,boton,NA,,,,,,,,
segmentationP,SP_T_16,cabra,cabra,NA,NA,NA,5,2,5,CV,NA,2,cabra,NA,,,,,,,,
segmentationP,SP_T_17,bruja,bruja,NA,NA,NA,5,2,5,CCV,NA,2,bruja,NA,,,,,,,,
segmentationP,SP_T_18,preso,preso,NA,NA,NA,5,2,5,CCV,NA,2,preso,NA,,,,,,,,
segmentationP,SP_T_19,globo,globo,NA,NA,NA,5,2,5,CCV,NA,2,globo,NA,,,,,,,,
segmentationP,SP_T_20,trapo,trapo,NA,NA,NA,5,2,5,CCV,NA,2,trapo,NA,,,,,,,,
segmentationP,SP_T_21,bigote,bigote,NA,NA,NA,6,3,6,CV,NA,2,bigote,NA,,,,,,,,
segmentationP,SP_T_22,laguna,laguna,NA,NA,NA,6,3,6,CV,NA,2,laguna,NA,,,,,,,,
segmentationP,SP_T_23,pelota,pelota,NA,NA,NA,6,3,6,CV,NA,2,pelota,NA,,,,,,,,
segmentationP,SP_T_24,cadena,cadena,NA,NA,NA,6,3,6,CV,NA,2,cadena,NA,,,,,,,,
segmentationP,SP_T_25,trebol,trebol,NA,NA,NA,6,2,6,CCV,NA,2,trebol,NA,,,,,,,,
segmentationP,SP_T_26,trineo,trineo,NA,NA,NA,6,3,6,CCV,NA,2,trineo,NA,,,,,,,,
segmentationP,SP_T_27,trofeo,trofeo,NA,NA,NA,6,3,6,CCV,NA,2,trofeo,NA,,,,,,,,
segmentationP,SP_T_28,dragon,dragon,NA,NA,NA,6,2,6,CCV,NA,2,dragon,NA,,,,,,,,
