task,trialCode,target,visual1,visual2,visual3,visual4,corrResp,numSyll,numPhon,struct,syllPos,trialType,audio1,audio2,numPrac,taskPos,trialPos,targetPos,resp,acierto,RT,session
segmentationS,SS_E_01,mesa,mesa,NA,NA,NA,2,2,4,CV,NA,0,mesa,NA,,,,,,,,
segmentationS,SS_E_02,platillo,platillo,NA,NA,NA,3,3,7,CCV,NA,0,platillo,NA,,,,,,,,
segmentationS,SS_P_01,pato,pato,NA,NA,NA,2,2,4,CCV,NA,1,pato,NA,,,,,,,,
segmentationS,SS_P_02,galleta,galleta,NA,NA,NA,3,3,6,CV,NA,1,galleta,NA,,,,,,,,
segmentationS,SS_P_03,bruja,bruja,NA,NA,NA,2,2,5,CCV,NA,1,bruja,NA,,,,,,,,
segmentationS,SS_T_01,boca,boca,NA,NA,NA,2,2,4,CV,NA,2,boca,NA,,,,,,,,
segmentationS,SS_T_02,cine,cine,NA,NA,NA,2,2,4,CV,NA,2,cine,NA,,,,,,,,
segmentationS,SS_T_03,gato,gato,NA,NA,NA,2,2,4,CV,NA,2,gato,NA,,,,,,,,
segmentationS,SS_T_04,sopa,sopa,NA,NA,NA,2,2,4,CV,NA,2,sopa,NA,,,,,,,,
segmentationS,SS_T_05,plaza,plaza,NA,NA,NA,2,2,5,CCV,NA,2,plaza,NA,,,,,,,,
segmentationS,SS_T_06,preso,preso,NA,NA,NA,2,2,5,CCV,NA,2,preso,NA,,,,,,,,
segmentationS,SS_T_07,gripe,gripe,NA,NA,NA,2,2,5,CCV,NA,2,gripe,NA,,,,,,,,
segmentationS,SS_T_08,fruta,fruta,NA,NA,NA,2,2,5,CCV,NA,2,fruta,NA,,,,,,,,
segmentationS,SS_T_09,tijera,tijera,NA,NA,NA,3,3,6,CV,NA,2,tijera,NA,,,,,,,,
segmentationS,SS_T_10,ballena,ballena,NA,NA,NA,3,3,6,CV,NA,2,ballena,NA,,,,,,,,
segmentationS,SS_T_11,juguete,juguete,NA,NA,NA,3,3,6,CV,NA,2,juguete,NA,,,,,,,,
segmentationS,SS_T_12,tomate,tomate,NA,NA,NA,3,3,6,CV,NA,2,tomate,NA,,,,,,,,
segmentationS,SS_T_13,planeta,planeta,NA,NA,NA,3,3,7,CCV,NA,2,planeta,NA,,,,,,,,
segmentationS,SS_T_14,frutilla,frutilla,NA,NA,NA,3,3,7,CCV,NA,2,frutilla,NA,,,,,,,,
segmentationS,SS_T_15,crayola,crayola,NA,NA,NA,3,3,7,CCV,NA,2,crayola,NA,,,,,,,,
segmentationS,SS_T_16,brujula,brujula,NA,NA,NA,3,3,7,CCV,NA,2,brujula,NA,,,,,,,,
segmentationS,SS_T_17,bicicleta,bicicleta,NA,NA,NA,4,4,9,CV,NA,2,bicicleta,NA,,,,,,,,
segmentationS,SS_T_18,mariposa,mariposa,NA,NA,NA,4,4,8,CV,NA,2,mariposa,NA,,,,,,,,
segmentationS,SS_T_19,telefono,telefono,NA,NA,NA,4,4,8,CV,NA,2,telefono,NA,,,,,,,,
segmentationS,SS_T_20,chocolate,chocolate,NA,NA,NA,4,4,8,CV,NA,2,chocolate,NA,,,,,,,,
segmentationS,SS_T_21,primavera,primavera,NA,NA,NA,4,4,9,CCV,NA,2,primavera,NA,,,,,,,,
segmentationS,SS_T_22,cronometro,cronometro,NA,NA,NA,4,4,10,CCV,NA,2,cronometro,NA,,,,,,,,
