task,trialCode,target,visual1,visual2,visual3,visual4,corrResp,numSyll,numPhon,struct,syllPos,trialType,audio1,audio2,numPrac,taskPos,trialPos,targetPos,resp,acierto,RT,session
blendingS,BS_E_01,perro,perro,pelo,gato,faro,perro,2,4,CV,NA,0,perro_s,NA,,,,,,,,
blendingS,BS_E_02,tetera,tetera,tesoro,botella,juguete,tetera,3,6,CV,NA,0,tetera_s,NA,,,,,,,,
blendingS,BS_P_01,cama,cama,capa,mesa,pato,cama,2,4,CV,NA,1,cama_s,NA,,,,,,,,
blendingS,BS_P_02,brillo,brillo,brisa,NA,preso,brillo,2,5,CCV,NA,1,brillo_s,NA,,,,,,,,
blendingS,BS_P_03,paleta,paleta,panera,pelota,ballena,paleta,3,6,CV,NA,1,paleta_s,NA,,,,,,,,
blendingS,BS_T_01,ceja,ceja,cena,boca,ropa,ceja,2,4,CV,NA,2,ceja_s,NA,,,,,,,,
blendingS,BS_T_02,copa,copa,codo,vaso,reja,copa,2,4,CV,NA,2,copa_s,NA,,,,,,,,
blendingS,BS_T_03,mano,mano,mago,dedo,jugo,mano,2,4,CV,NA,2,mano_s,NA,,,,,,,,
blendingS,BS_T_04,sapo,sapo,saco,loro,lago,sapo,2,4,CV,NA,2,sapo_s,NA,,,,,,,,
blendingS,BS_T_05,gripe,gripe,grillo,NA,bruja,gripe,2,5,CCV,NA,2,gripe_s,NA,,,,,,,,
blendingS,BS_T_06,plato,plato,playa,NA,fruta,plato,2,5,CCV,NA,2,plato_s,NA,,,,,,,,
blendingS,BS_T_07,clase,clase,clavo,NA,pluma,clase,2,5,CCV,NA,2,clase_s,NA,,,,,,,,
blendingS,BS_T_08,traje,traje,trapo,NA,brazo,traje,2,5,CCV,NA,2,traje_s,NA,,,,,,,,
blendingS,BS_T_09,conejo,conejo,cocina,paloma,muneca,conejo,3,6,CV,NA,2,conejo_s,NA,,,,,,,,
blendingS,BS_T_10,moneda,moneda,mochila,billete,cabeza,moneda,3,6,CV,NA,2,moneda_s,NA,,,,,,,,
blendingS,BS_T_11,camisa,camisa,cadena,zapato,laguna,camisa,3,6,CV,NA,2,camisa_s,NA,,,,,,,,
blendingS,BS_T_12,cebolla,cebolla,cepillo,tomate,tijera,cebolla,3,6,CV,NA,2,cebolla_s,NA,,,,,,,,
blendingS,BS_T_13,platillo,platillo,planeta,NA,crayola,platillo,3,7,CCV,NA,2,platillo_s,NA,,,,,,,,
blendingS,BS_T_14,triciclo,triciclo,trineo,NA,frutilla,triciclo,3,8,CCV,NA,2,triciclo_s,NA,,,,,,,,
blendingS,BS_T_15,billetera,billetera,bicicleta,monedero,telefono,billetera,4,8,CV,NA,2,billetera_s,NA,,,,,,,,
blendingS,BS_T_16,zapatilla,zapatilla,zanahoria,camiseta,lapicera,zapatilla,4,8,CV,NA,2,zapatilla_s,NA,,,,,,,,
blendingS,BS_T_17,marinero,marinero,mariposa,calavera,caramelo,marinero,4,8,CV,NA,2,marinero_s,NA,,,,,,,,
blendingS,BS_T_18,cocodrilo,cocodrilo,cocinero,lagartija,limonada,cocodrilo,4,9,CV,NA,2,cocodrilo_s,NA,,,,,,,,
