task ,trialCode,target,offset,dur1,onsetMask,inPhase,corrResp,trialType,numPrac,taskPos,trialPos,targetPos,resp,acierto,RT,session
visE,VE_E_01,left1,6,1,8,0,left,0,,,,,,,,
visE,VE_E_02,right1,4,1,6,-1,right,0,,,,,,,,
visE,VE_P_01,left1,4,1,6,-1,left,1,,,,,,,,
visE,VE_P_02,left1,8,1,10,1,left,1,,,,,,,,
visE,VE_P_03,right1,6,1,8,0,right,1,,,,,,,,
visE,VE_T_01,left1,6,1,8,0,left,2,,,,,,,,
visE,VE_T_02,left1,8,1,10,1,left,2,,,,,,,,
visE,VE_T_03,left1,4,1,6,-1,left,2,,,,,,,,
visE,VE_T_04,left1,6,1,8,0,left,2,,,,,,,,
visE,VE_T_05,left1,8,1,10,1,left,2,,,,,,,,
visE,VE_T_06,left1,4,1,6,-1,left,2,,,,,,,,
visE,VE_T_07,left1,6,1,8,0,left,2,,,,,,,,
visE,VE_T_08,left1,8,1,10,1,left,2,,,,,,,,
visE,VE_T_09,left1,4,1,6,-1,left,2,,,,,,,,
visE,VE_T_10,left1,6,1,8,0,left,2,,,,,,,,
visE,VE_T_11,left1,8,1,10,1,left,2,,,,,,,,
visE,VE_T_12,left1,4,1,6,-1,left,2,,,,,,,,
visE,VE_T_13,right1,6,1,8,0,right,2,,,,,,,,
visE,VE_T_14,right1,8,1,10,1,right,2,,,,,,,,
visE,VE_T_15,right1,4,1,6,-1,right,2,,,,,,,,
visE,VE_T_16,right1,6,1,8,0,right,2,,,,,,,,
visE,VE_T_17,right1,8,1,10,1,right,2,,,,,,,,
visE,VE_T_18,right1,4,1,6,-1,right,2,,,,,,,,
visE,VE_T_19,right1,6,1,8,0,right,2,,,,,,,,
visE,VE_T_20,right1,8,1,10,1,right,2,,,,,,,,
visE,VE_T_21,right1,4,1,6,-1,right,2,,,,,,,,
visE,VE_T_22,right1,6,1,8,0,right,2,,,,,,,,
visE,VE_T_23,right1,8,1,10,1,right,2,,,,,,,,
visE,VE_T_24,right1,4,1,6,-1,right,2,,,,,,,,
visE,VE_T_25,left2,6,1,8,0,left,2,,,,,,,,
visE,VE_T_26,left2,8,1,10,1,left,2,,,,,,,,
visE,VE_T_27,left2,4,1,6,-1,left,2,,,,,,,,
visE,VE_T_28,left2,6,1,8,0,left,2,,,,,,,,
visE,VE_T_29,left2,8,1,10,1,left,2,,,,,,,,
visE,VE_T_30,left2,4,1,6,-1,left,2,,,,,,,,
visE,VE_T_31,left2,6,1,8,0,left,2,,,,,,,,
visE,VE_T_32,left2,8,1,10,1,left,2,,,,,,,,
visE,VE_T_33,left2,4,1,6,-1,left,2,,,,,,,,
visE,VE_T_34,left2,6,1,8,0,left,2,,,,,,,,
visE,VE_T_35,left2,8,1,10,1,left,2,,,,,,,,
visE,VE_T_36,left2,4,1,6,-1,left,2,,,,,,,,
visE,VE_T_37,right2,6,1,8,0,right,2,,,,,,,,
visE,VE_T_38,right2,8,1,10,1,right,2,,,,,,,,
visE,VE_T_39,right2,4,1,6,-1,right,2,,,,,,,,
visE,VE_T_40,right2,6,1,8,0,right,2,,,,,,,,
visE,VE_T_41,right2,8,1,10,1,right,2,,,,,,,,
visE,VE_T_42,right2,4,1,6,-1,right,2,,,,,,,,
visE,VE_T_43,right2,6,1,8,0,right,2,,,,,,,,
visE,VE_T_44,right2,8,1,10,1,right,2,,,,,,,,
visE,VE_T_45,right2,4,1,6,-1,right,2,,,,,,,,
visE,VE_T_46,right2,6,1,8,0,right,2,,,,,,,,
visE,VE_T_47,right2,8,1,10,1,right,2,,,,,,,,
visE,VE_T_48,right2,4,1,6,-1,right,2,,,,,,,,
visE,VE_T_49,left3,6,1,8,0,left,2,,,,,,,,
visE,VE_T_50,left3,8,1,10,1,left,2,,,,,,,,
visE,VE_T_51,left3,4,1,6,-1,left,2,,,,,,,,
visE,VE_T_52,left3,6,1,8,0,left,2,,,,,,,,
visE,VE_T_53,left3,8,1,10,1,left,2,,,,,,,,
visE,VE_T_54,left3,4,1,6,-1,left,2,,,,,,,,
visE,VE_T_55,left3,6,1,8,0,left,2,,,,,,,,
visE,VE_T_56,left3,8,1,10,1,left,2,,,,,,,,
visE,VE_T_57,left3,4,1,6,-1,left,2,,,,,,,,
visE,VE_T_58,left3,6,1,8,0,left,2,,,,,,,,
visE,VE_T_59,left3,8,1,10,1,left,2,,,,,,,,
visE,VE_T_60,left3,4,1,6,-1,left,2,,,,,,,,
visE,VE_T_61,right3,6,1,8,0,right,2,,,,,,,,
visE,VE_T_62,right3,8,1,10,1,right,2,,,,,,,,
visE,VE_T_63,right3,4,1,6,-1,right,2,,,,,,,,
visE,VE_T_64,right3,6,1,8,0,right,2,,,,,,,,
visE,VE_T_65,right3,8,1,10,1,right,2,,,,,,,,
visE,VE_T_66,right3,4,1,6,-1,right,2,,,,,,,,
visE,VE_T_67,right3,6,1,8,0,right,2,,,,,,,,
visE,VE_T_68,right3,8,1,10,1,right,2,,,,,,,,
visE,VE_T_69,right3,4,1,6,-1,right,2,,,,,,,,
visE,VE_T_70,right3,6,1,8,0,right,2,,,,,,,,
visE,VE_T_71,right3,8,1,10,1,right,2,,,,,,,,
visE,VE_T_72,right3,4,1,6,-1,right,2,,,,,,,,
