task,trialCode,target,visual1,visual2,visual3,visual4,corrResp,numSyll,numPhon,struct,syllPos,trialType,audio1,audio2,numPrac,taskPos,trialPos,targetPos,resp,acierto,RT,session
vocabulary,VO_E_01,brazo,brazo,cazo,pierna,excavadora,brazo,2,5,CCV,NA,0,brazo,NA,,,,,,,,
vocabulary,VO_E_02,vestido,vestido,batido,pantalon,cortina,vestido,3,7,CV,NA,0,vestido,NA,,,,,,,,
vocabulary,VO_P_01,corazon,corazon,macarron,ojo,labios,corazon,0,0,CV,NA,1,corazon,NA,,,,,,,,
vocabulary,VO_P_02,clavo,clavo,calvo,martillo,farola,clavo,2,5,CCV,NA,1,clavo,NA,,,,,,,,
vocabulary,VO_P_03,serpiente,serpiente,pendiente,limaco,manguera,serpiente,3,9,CV,NA,1,serpiente,NA,,,,,,,,
vocabulary,VO_T_01,buho,buho,burro2,canario,buzon,buho,0,0,CV,NA,2,buho,NA,,,,,,,,
vocabulary,VO_T_02,cinturon,cinturon,tiburon,tirantes,cuerda,cinturon,0,0,CV,NA,2,cinturon,NA,,,,,,,,
vocabulary,VO_T_03,jarron,jarron,jamon,vaso,hucha,jarron,0,0,CV,NA,2,jarron,NA,,,,,,,,
vocabulary,VO_T_04,pez,pez,red,foca,calzador,pez,1,3,CV,NA,2,pez,NA,,,,,,,,
vocabulary,VO_T_05,pan,pan,sal,magdalena,bate,pan,1,3,CV,NA,2,pan,NA,,,,,,,,
vocabulary,VO_T_06,maiz,maiz,nariz,nuez,rodillo,maiz,1,4,CV,NA,2,maiz,NA,,,,,,,,
vocabulary,VO_T_07,vaca,vaca,bata,toro,abrigo,vaca,2,4,CV,NA,2,vaca,NA,,,,,,,,
vocabulary,VO_T_08,mono,mono,moto,oso,mochila,mono,2,4,CV,NA,2,mono,NA,,,,,,,,
vocabulary,VO_T_09,mano,mano,mono,pie,guante,mano,2,4,CV,NA,2,mano,NA,,,,,,,,
vocabulary,VO_T_10,pato,pato,palo,loro,tetera,pato,2,4,CV,NA,2,pato,NA,,,,,,,,
vocabulary,VO_T_11,nariz,nariz,maiz,ojo,monte,nariz,2,5,CV,NA,2,nariz,NA,,,,,,,,
vocabulary,VO_T_12,silla,silla,pila,mesa,orinal,silla,2,4,CV,NA,2,silla,NA,,,,,,,,
vocabulary,VO_T_13,burro,burro,churro,caballo,padre,burro,2,4,CV,NA,2,burro,NA,,,,,,,,
vocabulary,VO_T_14,casa,casa,taza,caravana,reloj,casa,2,4,CV,NA,2,casa,NA,,,,,,,,
vocabulary,VO_T_15,pierna,pierna,piedra,brazo,rama,pierna,2,6,CV,NA,2,pierna,NA,,,,,,,,
vocabulary,VO_T_16,luna,luna,cuna,estrella,platano,luna,2,4,CV,NA,2,luna,NA,,,,,,,,
vocabulary,VO_T_17,mosca,mosca,bolsa,hormiga,parapente,mosca,2,5,CV,NA,2,mosca,NA,,,,,,,,
vocabulary,VO_T_18,llave,llave,cable,cerradura,caracol,llave,2,4,CV,NA,2,llave,NA,,,,,,,,
vocabulary,VO_T_19,nube,nube,nueve,rayo,algodon,nube,2,4,CV,NA,2,nube,NA,,,,,,,,
vocabulary,VO_T_20,peine,peine,nieve,secador,regla,peine,2,5,CV,NA,2,peine,NA,,,,,,,,
vocabulary,VO_T_21,guante,guante,monte,bufanda2,mano,guante,2,6,CV,NA,2,guante,NA,,,,,,,,
vocabulary,VO_T_22,zorro,zorro,gorro,perro,bufanda,zorro,2,4,CV,NA,2,zorro,NA,,,,,,,,
vocabulary,VO_T_23,gallo,gallo,gato,cisne,guante,gallo,2,4,CV,NA,2,gallo,NA,,,,,,,,
vocabulary,VO_T_24,hoja,hoja,ajo,raiz,plato,hoja,2,3,CV,NA,2,hoja,NA,,,,,,,,
vocabulary,VO_T_25,flecha,flecha,Ficha,arco,boligrafo,flecha,2,5,CCV,NA,2,flecha,NA,,,,,,,,
vocabulary,VO_T_26,valla,valla,bala,puerta,obra,valla,2,4,CV,NA,2,valla,NA,,,,,,,,
vocabulary,VO_T_27,manzana,manzana,mascara,pera,pelota,manzana,3,7,CV,NA,2,manzana,NA,,,,,,,,
vocabulary,VO_T_28,tijera,tijera,pulsera,cuchillo,balancin,tijera,3,6,CV,NA,2,tijera,NA,,,,,,,,
vocabulary,VO_T_29,abeja,abeja,oreja,mosca,lapiz,abeja,3,5,CV,NA,2,abeja,NA,,,,,,,,
vocabulary,VO_T_30,martillo,martillo,rastrillo,alicates,baston,martillo,3,7,CV,NA,2,martillo,NA,,,,,,,,
vocabulary,VO_T_31,aguila,aguila,aguja,pato,cometa,aguila,3,5,CV,NA,2,aguila,NA,,,,,,,,
vocabulary,VO_T_32,mariposa,mariposa,cantimplora,mariquita,lazo,mariposa,4,8,CV,NA,2,mariposa,NA,,,,,,,,
vocabulary,VO_T_33,pavo,pavo,perro,avestruz,abanico,pavo,4,8,CV,NA,2,pavo,NA,,,,,,,,
