task,trialCode,target,visual1,visual2,visual3,visual4,corrResp,numSyll,numPhon,struct,syllPos,trialType,audio1,audio2,numPrac,taskPos,trialPos,targetPos,resp,acierto,RT,session
vocabularyPPVT,VO_PPV_T_01,fruta,251,252,253,254,251,2,5,,NA,2,fruta,NA,,,,,,,,
vocabularyPPVT,VO_PPV_T_02,cadena,261,262,263,264,262,3,6,,NA,2,cadena,NA,,,,,,,,
vocabularyPPVT,VO_PPV_T_03,cactus,271,272,273,274,273,2,6,,NA,2,cactus,NA,,,,,,,,
vocabularyPPVT,VO_PPV_T_04,puercoespin,281,282,283,284,281,4,11,,NA,2,puercoespin,NA,,,,,,,,
vocabularyPPVT,VO_PPV_T_05,bostezar,291,292,293,294,292,3,8,,NA,2,bostezar,NA,,,,,,,,
vocabularyPPVT,VO_PPV_T_06,cabra,301,302,303,304,304,2,5,,NA,2,cabra,NA,,,,,,,,
vocabularyPPVT,VO_PPV_T_07,decorado,311,312,313,314,314,4,8,,NA,2,decorado,NA,,,,,,,,
vocabularyPPVT,VO_PPV_T_08,zorro,321,322,323,324,323,2,4,,NA,2,zorro,NA,,,,,,,,
vocabularyPPVT,VO_PPV_T_09,garras,331,332,333,334,331,2,5,,NA,2,garras,NA,,,,,,,,
vocabularyPPVT,VO_PPV_T_10,discutir,341,342,343,344,341,3,8,,NA,2,discutir,NA,,,,,,,,
vocabularyPPVT,VO_PPV_T_11,astronauta,351,352,353,354,353,4,10,,NA,2,astronauta,NA,,,,,,,,
vocabularyPPVT,VO_PPV_T_12,serrar,361,362,363,364,364,2,5,,NA,2,serrar,NA,,,,,,,,
vocabularyPPVT,VO_PPV_T_13,tronco,371,372,373,374,372,2,6,,NA,2,tronco,NA,,,,,,,,
vocabularyPPVT,VO_PPV_T_14,enorme,381,382,383,384,383,3,6,,NA,2,enorme,NA,,,,,,,,
vocabularyPPVT,VO_PPV_T_15,paracaidas,391,392,393,394,393,5,10,,NA,2,paracaidas,NA,,,,,,,,
vocabularyPPVT,VO_PPV_T_16,entregar,401,402,403,404,401,3,8,,NA,2,entregar,NA,,,,,,,,
vocabularyPPVT,VO_PPV_T_17,globo,411,412,413,414,412,2,5,,NA,2,globo,NA,,,,,,,,
vocabularyPPVT,VO_PPV_T_18,calculadora,421,422,423,424,422,5,11,,NA,2,calculadora,NA,,,,,,,,
vocabularyPPVT,VO_PPV_T_19,gotear,431,432,433,434,434,3,6,,NA,2,gotear,NA,,,,,,,,
vocabularyPPVT,VO_PPV_T_20,colmena,441,442,443,444,441,3,7,,NA,2,colmena,NA,,,,,,,,
vocabularyPPVT,VO_PPV_T_21,lijar,451,452,453,454,452,2,5,,NA,2,lijar,NA,,,,,,,,
vocabularyPPVT,VO_PPV_T_22,estatua,461,462,463,464,464,3,7,,NA,2,estatua,NA,,,,,,,,
vocabularyPPVT,VO_PPV_T_23,aterrorizada,471,472,473,474,471,6,11,,NA,2,aterrorizada,NA,,,,,,,,
vocabularyPPVT,VO_PPV_T_24,rectangulo,481,482,483,484,481,4,10,,NA,2,rectangulo,NA,,,,,,,,
vocabularyPPVT,VO_PPV_T_25,marco,491,492,493,494,491,2,5,,NA,2,marco,NA,,,,,,,,
vocabularyPPVT,VO_PPV_T_26,equipaje,501,502,503,504,502,4,7,,NA,2,equipaje,NA,,,,,,,,
vocabularyPPVT,VO_PPV_T_27,escritura,511,512,513,514,511,4,9,,NA,2,escritura,NA,,,,,,,,
